,Title,Review Text,aspect-opinion
671,Nice casual tunic-dress,"Comfortable,t eh fabric is very soft. the embroidery adds a little to the otherwise plain black tunic. lace up neck on trend too. 

i ordered the xxs p, as it is likely loose... that was just fine for me, xs p would have been not as flattering. theo nly problem with that is the sleeves then became a little more snug (workout arms). not too snug that i can't wear the dress, but decided not to keep it only because there are way too many things i like at retailer! (and have to pick). in my wish lis","['fabric- Comfortable', 'embroidery- little', 'p-just fine', 'problem- sleeves', 'way-too snug', 'things-too many']"
684,I'm in love!,"I love this shirtdress. the lace and collar design pops off the black. super comfortable and love that it has pockets! a keeper, this one not going back ever. i am 5'9 and 140 lbs and the 6 fits perfect. the length comes above my knee, so most likely i will be wearing tights or skinny's underneath.","['one-super comfortable', 'fits- perfect', 'length-most likely']"
688,Great dress!!,"I am 5'4"" 140 pounds and ordered the 8 petite. it fits perfectly and is very flattering. the embroidery and lace up neckline thing is really awesome. it gives the dress some character... i am also a fan of the roll-up sleeves. i wish it came in other colors because i would certainly order more than one. the one and only potentially negative aspect, and i say potential because i'm not sure if its an issue or not as i haven't worn/washed it yet is it appears to be something that i may have to iron","['thing-really awesome', 'one-potentially negative', 'issue- sure']"
692,The perfect fall dress,"Ordered this dress online and wasn't sure about the criss-cross neckline feature but i love it! it's absolutely adorable and unbelievably comfortable. the fabric is very soft and lays nicely without feeling too ""baggy"" or frumpy. the embroidery is beautiful. i'm wearing it to a fall event in october and pairing it with my favorite cowboy boots, but it would also look great with flats, heels or booties. totally in love with this dress!","['fabric-very soft', 'embroidery- beautiful']"
693,"Adorable, comfortable, flattering; this has it all","I was not shopping for a dress and somehow came home with this. in person the material and embroidery are just so stunning that i found myself picking it up. i was sold after trying it on. the material is very soft, both feels and looks extremely high quality. and for a basic shirtdress, it is amazingly flattering. follows curves without clinging to them. i'm 5'4"", 123 lbs, usually wear a small in tops/dresses & purchased the size 4, which fit perfectly. i'm slightly chesty (34d) so sometimes ha","['material-so stunning', 'material-very soft']"
700,Could be a bit shorter,"Great material. a bit loose in the middle / lower half. doesn't belt well. it could be 3"" shorter, considering alterations. i'm 5'7"" the model is 5'10"", so yeah 3"" shorter would be cute!","[""model- '""]"
1280,Love it!,"Great dress! wish it came it more colors, would like to buy another one. i am 5'5"",125, size small is perfect. unlike one of the previous reviewers, i do not think it is too clingy. maybe she needed to size up.very versital, cute with a jean jacket, or long lightweight scarf, booties, or sandals! .",['size- small']
1282,Lovely gem!!,"I've passed this dress by a number of times online, but ordered it on a whim on the mothers day promo. based on the reviews, i ordered my regular size, medium. it fit perfectly. i do think the cut is on the trim side, but it isn't tight or fitted. i probably couldn't eat a big meal in this though as it would probably show in this dress. the fabric is buttery soft! the button placket down the front is very clean and lays flat. there are two side pleats that are a different fabric and are ever so","['cut- tight', 'fabric- buttery', 'placket- soft', 'pleats- different']"
1289,"Wanted to love, but...","Tried on this maxi dress recently, hoping i would have a new dress to enjoy but the frabic is just too thin. so sad :(. unfortunately it shows every lump and bump and even wearing spanx while trying on it still showed too much. a full length slip would help but i decided to put it back.","['frabic-recently new', 'slip- full']"
1297,Elegant comfort,"I bought this dress with my birthday gift and i do not regret it! it's so soft and feels like pure comfort but the details, little metal buttons down the front, the vent pleats on the side; make it feel special. i received many compliments and i would urge you to get this one if you are seeking comfort. it was pretty true to size and because i'm an average height i wore a small block heel with it.",[]
1311,Cute and decent make!,"Someone returned my size so i got to try it on in store. the cut is very flattering, the material is stretchy. the lace part is nicely made too. overall great piece. the petite waist did hit me a little higher than on model, i have a regular torso and short legs (and overall usually need petite)","['cut-very flattering', 'material- stretchy', 'waist- petite']"
1318,Nice winter dress,"Great dress, fit perfectly warm for the winter, i live in florida it will be great if we get a winter next year. very comfortable and easy to wear.",[]
1330,Versatile comfortable dress,"This dress is comfortable and versatile - one could wear it to the office or to a social event, day to night. i didn't find the sizing to run as large as some of the other reviewers did. i felt it was true to size. it is not lined so you would need a slip under it if you wear it with tights or nylons, otherwise the skirt will cling.",['dress- comfortable']
1336,Beutiful dress,"Decent quality. i am 5'4"" 130 pounds. m is too big. runs slightly large.",['m-too big']
1574,Truly beautiful dress,"I'm an avid retailer shopper.
i bought this dress for my niece, her style tends to run 
bohemian/gothic.
the style, fabric and overall design/quality of this dress, is something i felt she would like (even though the color is not black).
she loves it - perfect fit. she accessorized it with her usual biker/moto jacket,boots, etc.
but it looks awesome on her!","['style- bohemian', 'style- overall', 'color-even black']"
1592,Gorgeous detailing,"I never write reviews but this dress is so fantastic i felt compelled to write one. it has unbelievably gorgeous detailing, from delicate beading and sequins on the bodice to the three layers of the skirt: slip, floral pattern, pleats. i literally feel like a princess/ greek muse in this dress. can't recommend it enough. true to size; i'm 5'7"" and 133 lb and got a size 4.",['dress-so fantastic']
1957,Perfect sweater dress to brighten up winter.,"This dress is really fun and easy to wear all winter. the colors are really easy to pair and like the last reviewer mentioned, i love the sheer sleeves. i was very worried about the comfort of the fabric because most sweater dresses always fail. this dress is extremely comfortable to wear. it is not scratchy at all. it is soft and comfortable for winter even indoors with the building's heat blasting away. the dress will fit the size you normally wear, however it may show lumps and bumps. i would","['dress-really fun', 'colors-really easy', 'reviewer- last', 'dresses-very most', 'dress-extremely comfortable']"
1960,Lovely sweater dress,"This sweater dress is beautifully unique in that it has lovely sheer sleeves to dress it up, but it's made of a soft sweater material that feels comfortable, warm and wintry at the same time. it does run true to size, i ordered a small (5'5"" and 118 lbs). knitted and knotted has come up with some killer sweater dresses this season!!!",['dress-beautifully unique']
1972,Classic,"A wardrobe addition to dress up, or dress down.
the sheer sleeves are a nice detail...

(i'm 5'6"", and the length hits me at the knee.)",['sleeves- sheer']
1973,Slightly disagree with others,"I wore this dress for christmas and agree that it is beautiful (i received many compliments), while i agree that this sweater dress is beautiful, i'm a little worried about the quality. after just a day of wearing it, it seemed to have lost it's shape. the bottom hem of the dress looked stretched out and it sagged slightly all over. i'm 5'7"", 135lbs and my typical size is a m/4 and the dress fit perfectly initially, but not so much by christmas dinner. i'm not giving up on it because i was still","['dress- many', 'hem- bottom', 'size- typical']"
1976,Beautiful dress,"This dress is absolutely beautiful! the grey is more vibrant in real life than the picture suggests and the maroon red is perfect for fall and winter. seriously, this is not your typical sweater dress; the sheer sleeves elevate it to a whole other level. it comes to just above the knee on my 5'7"" frame. it is a bit looser on top (i'm 32c) and more form-fitting around the hips but not tight or clingy. and so comfortable! i am 122 lbs and took my usual small so i think it runs true to size. the sl","['dress-absolutely beautiful', 'grey-more vibrant', 'picture- real', 'red- perfect', 'sleeves-seriously sheer']"
1981,Quality and look make it a winner,"Nice quality, soft fabric, sleeves definitely make a unique statement. the fit worked for me, although it could have more room in hips (for my hourglass figure). got m, size l was way too big. i am 34d, but the dress can definitely accomodate bigger chest. the color are my favorites in this season.
wear it to stand out!","['fit- more', 'l-too big', 'dress- 34d', 'color- favorites']"
1988,Lovely long loose,"I wanted to buy my usual mp but was sold out and so was normal m. i got the regular l and it fits like a shift dress and does not enhance my curves. it looks like a luxurious knitted sack but i mean that in a good way. it is very comfortable, does not cling, and reaches just below my knees. i do worry about the stretch factor as other reviewers have noted but since i just received it we will see. i do not like the sheer sleeves. i wish i could take them off. i do not like the button loop at the",['reviewers- other']
2053,"No, just no.","I wanted to love this. couldn't wait for it to arrive.  unfortunately, it doesn't look anything like the picture.  i usually wear a m/l in holding horses so i ordered a l but as soon as i held it up i noticed it was ridiculously large. the fabric is on the heavy side so the dress just hangs in a very unflattering way. and, it is extremely shimmery.  i love velvet, but the texture and sheen of this dress was just over the top. sadly, it is going back.","['fabric- heavy', 'dress-very unflattering']"
2054,Gorgeous for fall,"I bought the ""light grey"" color. the dress in the photo does not look a thing like the dress in person, it does not look grey at all but more of a light teal/light blue.  it is absolutely gorgeous and has a slight swing shape. i took my normal size xs.  the end of the sleeves (where the buttons are) are very tight but still fit, you just have to be careful taking off or else undo the buttons.  also online inventory says no one has this in store, but i did end up finding it (rockefeller).","['dress- grey', 'buttons-very tight', 'inventory-also online']"
2056,Not quite the right fit,"On the hanger, this looks like a great lbd. on me, not quite. the bell shape of this dress made it appear that i was carrying extra weight in the middle.  for reference, i tried a 0p, and i'm 5,1"", 102#, and 34a.",['shape- extra']
2058,Picture misleading,"I ordered this and there is just so much fabric! in the pictures i think it is pinned in the back, in the main photo, to make it look more streamlined. definitely a miss!",['fabric-so much']
2059,Cute!,"This dress is cute!! i ordered my regular xs which was too large but liked it enough to exchange for an xs petite and hopefully the fit will be better. (the xs was much too wide and came past my knee. i'm 5'2' and 123 for reference).  the grey is very pretty and is blueish gray... very misty and unique. the pockets are awesome and i like that it's lined in a fine poly that shouldn't cling to tights, etc in the winter. if you can find a size that fits you, buy it!","['dress- cute', 'fit-too large', 'xs-too wide', 'grey-very blueish', 'pockets- awesome']"
2061,Cute but runs large,"I was really hoping this dress would work out, as it looks like it could be a staple outfit for work! the material is very nice, but unfortunately the dress was way too big. there is a band right under the chest that i would think should be somewhat fitted to give the dress some shape to your figure, but it was wayyy to big on me (especially considering i am large-chested! i will be returning this.","['dress-really staple', 'material-very nice', 'dress-too big', 'band-somewhat big']"
2063,Great with leggings,"This dress is too short for me to wear as a dress, at 5'7"" and over 40. however is is great with leggings and boots.
it drapes nicely not over sized like many dresses this style. the color is more earthy than pictured. it's actually nicer in person than online. and it has a wonderful texture to it. i was drawn to it when i walked in the store they had it on display under s short cropped jacket and boots.","['dress-too short', 'color-more earthy']"
2065,A shirtdress that swings,"This is a really cute and flattering dress on me. i am 5'4"" 120 lbs and the 4 is a perfect fit. i am a little busty but the empire seam brings the dress back in slightly below my chest so it does not tent out.the asymmetrical hem makes it really flowy when you walk. the under dress is a lightweight fabric in a sheath cut that is shorter than the over dress which is a fun detail. the over dress material is somewhat gauzy and it moves as you move. the pockets are positioned in the front which is a","['seam- little', 'hem- asymmetrical', 'dress- under', 'material- over']"
2067,Classic!,Very comfortable to wear. you can wear it any season.  it runs true to size.  nice fabric.  it&amp;#39;s a simple black dress.  love it!,['#39- simple']
2068,Enormous,I ordered a size 0. the dress was extremely large. i am 5'2 and weigh 110. i guess you really must be 5'9 like the model to wear this dress. such a shame..,['dress-extremely large']
2069,Not my kind of fit,"I wanted a comfortable and loose casual dress. i liked the pictures and decided to give it a try.
the dress turned out to be too loose (i got size 4 after checking the measurements chart, i'm 5'7' 125 lb and usually wear s). i could practically wrap myself in this dress. besides, it looks a bit too long (well, i'm not as tall as the model in the photos and i don't like wearing high heels).
the material looks faded, not as bright as in the pictures. i like distressed and vintage style, but this","['dress-too loose', 'material-as bright']"
2075,Wonderful but button issues,"This dress just feels and looks amazing. i love how it isn't too short like a lot of new styles. i think it will be wonderful with leggings or tights in the winter. i also love the plaid cuff detail. the only drawback is the buttons need to be reinforced. i got home and realized one button was missing. i went to the store to swap for a new one and when i went to cuff the arms, 2 buttons popped off!","['dress-just amazing', 'drawback- only', 'buttons- new']"
2076,Why isn't this dress sold out?!,"It is such a pretty dress. the pics don't do this dress any justice. the cut and style is so flattering. the colors are gorgeous. you can wear it on a cool evening in summer and well into fall. i absolutely love this dress. even if the material appears a bit rough, there is a slip underneath.","['cut-so flattering', 'colors- gorgeous', 'material-even rough']"
2077,Velvet crush,This dress is so soft and cozy and pretty.  love the shine and interesting sheen whenever you move.  very comfortable and looks great with a variety of layers. i want to buy more colors but right now i just have the mauve. ordered size m and i'm 38-27-35 #135.,['dress-so soft']
2078,Babydoll,The colour is gorgeous but it's basically a baby doll dress - it looks like the waist is much lower on the model but for my height and large chest it' fell like a baby doll or a maternity dress. not flattering. pockets are a nice touch though.,"['colour- gorgeous', 'waist-much lower', 'pockets- nice']"
2079,Versitle,"I ordered this online with out trying it on the store. it does hang a teeny bit loser than in the photo of the model but in my opinion doesn't look bad. plus, i'm not a model...;) what i did was put a thick belt on and it just brought the dress to a new level. love it with a belt. i am an art teacher and it was perfect for work and then going out after with friends. (the school is not secular so the skirt must be long enough (it hit right above my knees in the front) as well as the sleeves) i ag",['school- secular']
2080,Classic and comfort,"This dress is gorgeous yet sturdy, it is all about the lace. size regular 4 fit my chest area well and i like the midi look (i am 5ft2in, 34b, 26 waist, 36 hips). whether regular or petite size, when i walked or turned, the pleats added too much volume and looked overwhelming and no shape. i tried it with a belt and it looked better, but looked odd because the pleats poofed at the belt area. i tried with a sweater, jacket...then finally gave up. it would look gorgeous on a tall thin gal.","['dress- gorgeous', 'size- regular', 'pleats- petite', 'pleats-better odd']"
2081,Babydoll rock and roll,"This dress is modern yet timeless, cute yet rock and roll if worn with boots. i am 36b, 26 waist, 36 hips, and size regular s fits well. i like regular size because it is longer in the torso (lengthens waist for a belt) and the length is right above the knees, appropriate for work. the bust area fits me perfectly so well-endowed ladies may want up a size. i am into grey now but all colors are gorgeous, love the sheen, colors are true like shown (1 star off for hi price for a simple dress).","['dress- modern', 'length- regular', 'colors- grey', 'colors- gorgeous']"
2082,Great fall dress,"I tried this dress on in the store.  i wear either a s or xs in retailer clothes.  its loose fitting, so i went with the xs.  the arm holes were tight, but have very cute buttons if you look closely at the picture.  you can also roll the sleeves up and there is a coordinating plaid underneath, which adds a nice touch.  great length, not too short or too long.  the grey color is much prettier in person.  i felt it had a little more of a blue tint. for reference i am 5'6"", 124 lbs, and 32b.","['holes- tight', 'plaid-underneath nice', 'color- grey']"
2083,Classic and classy,"I originally bought the white lace version of this dress, but it felt too ""bridey?"" then i snagged all three of the velvet blazers and spotted this black version. i like that it is not all lace, with the pleated chiffon ""center."" the under slip is straight and fits with the outer layer sheer enough to give the appearance of there being a shape under the flow. it is so versatile as i can do it with the velvet blazers and booties or classic lbd with black pumps. well worth the price as this will f",['slip- straight']
2085,Cute and comfortable,"This dress arrived today, and it is both flattering and comfortable. i am just a smidge under 5'4"", and i ordered a regular xs. in the front, it hit me about 3"" above the knee. it is office appropriate for a business casual environment. the red was deeper in color than i expected (it seemed a little ""brighter"" on my monitor), but this is no problem for me; it is still a great color. i tried it with clogs, knee boots and ankle boots - all really cute. and, as and added bonus, it looks good with b","['dress-both flattering', 'red- deeper']"
2086,Really pretty dress,"I wanted to love this dress - it is gorgeous on the model, but unfortunately for me, it didn't fit right. i'm petite and ordered the xxs petite. it was snug in the upper body and looked like i was wearing a baby-doll dress. the material is high quality and i love the burnt red color. it just didn't fit right. definitely looks great on the model, but hung funny on me. i can see why it was highly rated, gorgeous dress - just not on me.",['material- high']
2458,Adorable and comfortable,"This was a rare full-price purchase for me. i do think that it runs slightly large, but that is part of the ""look"" of this dress. i considered sizing down to an xs for more definition at the waist, but they didn't have one in store so i decided to stick with my regular s. i look forward to wearing this with sandals while summer is still sweltering, but i also think it will transition well with tights, boots, and a cardigan when temps start cooling off.",[]
2471,"Pretty dress, poor fit","I really wanted to love this dress, but it just didn't fit in anyway. i ordered an xs petite, and it was very large. the lacing in the back is completely useless, and that's what i liked about the dress. i was thinking it would be unlaced more at the top (because of chest) and then lace more tightly near the waist. it was completely closed off and the dress was still very loose and unflattering. beautiful fabric, great color combo, bad fit.","['lacing-completely useless', 'dress-very loose']"
2473,Fun dress!,"This dress has the same bold, great color as the picture. although it has a big ""swing"" to it, because the upper portion is a bit fitted, i don't feel like i look pregnant. the material is extremely well done and i like the above the knee styling. i'm very happy i bought it.",['dress- same']
3066,Too much fabric,"This is definitely a personal preference review. i loved this dress when i tried it on. it's really beautiful. however, there was just way too much fabric on the sleeves for me. i know it's the style and i have similar style dresses, but i felt really large in this dress and it all came down to the sleeves for me.",['way-too much']
3068,Gorgeous fabric,"This is an absolutely gorgeous dress. i have the arcata patchwork dress which fits beautifully without looking too full, but this one is just too voluminous. also, the bottom of the front yoke hits at a weird spot on my bust. this would be a great maternity dress or it would be perfect for a thin woman who can carry off the large amount of fabric. so disappointed, the fabric is beautiful and the colors are too. this can be worn year round, with sandals or boots.","['one-too full', 'bottom-also front', 'fabric-so disappointed', 'colors- beautiful']"
3069,Fell in love instantly,"As soon as i opened the package, i knew that this is going to be my all time retailer favorite. many reviewers mentioned how puffy the sleeves are but i see it as quite proportioned with the rest of the dress. tts i am 5'5"" and 128lb, ps fits perfect. i am an addict of retailer dress <3","['reviewers- many', 'sleeves- puffy', 'ps- perfect']"
3070,Beautiful impulse buy,"I popped into retailer the other day just to look around, and saw this dress - the fabric stood out first, then i saw the cut and style, and fell in love! they only had xs and s, and i'm usually a m because of my chest (34d) but it looked so voluminous, i thought i'd try it on. the s fit perfectly! the bodice fit a bit more closely, and the rest of the dress flowed beautifully beneath it. the sleeves are quite large, but it's kind of a fun look and feel. it's got a very ""peasant princess"" feel to","['fabric- other', 'sleeves-quite large']"
3078,Love at first sight,"Lush eye catching print. saw it, tried it on and had to have it, full price or not. very comfortable. bought one size down and it fit perfectly.",[]
3079,Boho beauty,"I love this dress! it's so comfy and flowy. i wore to an event and got many compliments on the color and design of the dress. i'm 5'5"" and weigh 150.",[]
3092,Didn't work for me,This dress overwhelmed me. i'm 5 feet tall and the print and material just took over.,['print- tall']
3093,Love the long tassels,I was tempted to get this online but just wasn't sure i wanted to buy even with the sale because i only wear dresses to the knee and didn't know how this would look with leggings or jeans. i tried it on in the store the next day and it was so cute! there are long skinny black tassels in the front that you can't really see in the online pics that i love. it looks great with my skinny jeans with tears or black leggings and boots. i even have some cute leggings just past the knee that this looks aw,['tassels-so black']
3097,Bohemian chic,"The picture of this dress does not do the colors justice. they are a very rich green and pink, which were a popular color combination in the 70's. (i was there!) it adds an authentic touch to this great peasant dress. the black and white embroidery on the bib gives it a modern flair. i am 5'6"", 130 pounds, and usually wear a size six in a dress. the small fit perfect. while the dress is billowy, the square on the back pulls it in, so it doesn't fit like a tent. perfect for boots now, sandals lat","['embroidery- white', 'dress- billowy']"
3100,Stunning!,"The second this dress arrived in my store i knew it was a must have. i am all things bohemian and this dress encompasses everything wonderful about a free fitting, feminine bohemian dress! first off the sleeves are not fitted. they have quite a bit of fabric to them (big armed ladies rejoice!), but have an elastic cuff so you can wear them high or low. the only fitted part to this dress is the lace panel (which still fits true to size), and the slip underneath (which appears to have a bit of str","['dress- second', 'dress- bohemian', 'ladies- armed', 'part- only']"
3101,"Recommended, but with reservations","It broke my heart to have to return this dress -- the fabric is simply gorgeous, very high quality, and i love the contrast between the yoke and the rest of the dress. but it was simply not flattering on me. i am 5-4 with a relatively large bust and an overall medium build. the small size fit me perfectly, but the cut just didn't look good on me. i have other tunic dresses that look great on me with tights and boots. so i am not entirely sure why this dress just didn't work for me. it may be tha","['fabric-simply gorgeous', 'size- small', 'cut-just good', 'dress-entirely sure']"
3105,My new favorite!,"I saw this online, and liked it but then tried it on in a store a few weeks later, and the pictures truly do not do this gem of a dress justice. the fit is flowy but tts as the cotton lining underneath fits closer to the body. it's an incredibly comfortable and easy piece to wear. the first day i wore this i received so many compliments! the colors are vibrant and it's really just a unique piece with beautiful detailing from the embroidery on the top of the dress to the beads on the ties on the","['pictures-then few', 'fit- flowy', 'lining- tts', 'colors-so many']"
3106,Love this dress - hate the lining.,I love this dress and have already worn it a couple times since purchasing. it is great because it has sleeves and i don't have to wear a sweater with it! my only complaint is the lining on the inside is pretty form fitting. i would have liked it to be more flowy like the dress.,['complaint- only']
3109,"Beautiful, just not on me",This was all wrong on me. the puffy sleeves made me look a foot wider. i'm thinking this will look good on tall slim ladies. it is extremely comfortable and the material is very pretty though. tts,"['sleeves- puffy', 'material-extremely comfortable']"
3325,Patch work dress,"I love this dress .
perfect fit and very good quality.",[]
3373,Work and play,"This dress is great for work and play. i bought a l and a xl. both fit well, but the sleeves in the large were quite tight. so i kept the xl although it is a bit loose. this dress looks great on. i wish the material was a little higher quality, but i loved the design and plan to wear it with boots. the top is cotton and i liked the lace up feature at the neckline.","['dress- great', 'sleeves-well large', 'dress- great', 'material- little', 'top- cotton']"
3549,Love this dress!,Wonderful dress! very comfortable and great fit! received numerous compliments whenever i wear it.,[]
3552,I want to wear this everyday!,"This dress is so soft and comfortable. great winter staple. i purchased the blue motif, which really doesn't have any blue on it. the stripes are fun and make this the perfect dress to throw on and feel great while staying comfortable.","['dress-so soft', 'stripes- fun']"
3554,Love this dress!,I love this dress! i generally wear size 10 and the medium fits perfect. i'm a curvy lady and this dress fits great. i've received many compliments on it and might even get another pattern because i love it so much!,"['medium-generally perfect', 'dress- curvy']"
3555,Comfortable meets cute,"This dress is adorable. it's easy to wear, really comfortable and i think looks great on. i'm 5'4"", i probably should have gotten a petite - the shortest part of the dress meets my knees. the fabric is quite soft, flows like jersey - it does seem to be a little cheaper and i can't speak to durability yet...hoping it holds up!","['dress- adorable', ""i'm-probably shortest"", 'fabric-quite soft']"
3556,Just perfect!,"I wanted to love this dress..and it did not disappoint! true to size, not too snug but doesn't make you look shapeless. the material is soft and has great movement. looks great with boots and booties. i know i will be wearing this one often!",['material- soft']
3557,Fits like a mumu,"This dress looks great online with boots as shown. when it arrived and i tried it on, it fit great on my arms, wasn't too tight on my neck, but once it went down over my chest (36c), the dress never came back ""in"" to show my feminine waist/shape. it just looked like a big trash bag on me, very disappointing! similar to a mumu.","['dress- great', 'dress-too tight']"
3559,So simple but so cute!,"I bought the multi-color stripe and it is adorable! i am 5'9"", 135 lbs and purchased a size small. it is a perfect length and drapes well...not too tight at all. i received a ton of compliments the first time i wore it. highly recommend!",[]
3560,Thin and sheer,"I was hoping this dress was a bit thicker, but when i tried it on the fabric was very thin and sheer. because of the body skimming design, this dress likely won't work on many without some serious spanx or body trimming hosiery. if you work out and are very fit, you might like it, but i don't so i'm not that brave! lol","['dress- thicker', 'dress-likely many']"
3561,Classy cling,I took a chance buying online. i'm thrilled this dress clings at the top and releases where it should (below the bust) without looking like a tent. a very classy dress for work or play. just hope it holds up after a wash as the material is thin (but opaque). love this dress.,['material-just thin']
3565,Bought every color,"The price is amazing for this easy and flattering dress. looks great as is or with a scarf, sweater, jacket, you name it! i just couldn't resist getting carried away with this one..",['price- amazing']
